1417,﻿Cula Cuțui,Stronghold Cutui,Broșteni, Mehedinţi,﻿ФЕОДАЛНО ИМЕНИЕ КУЦУЙ,Броșтени, Мехединţи,44.760204,22.980387
1102,CASA CU BOWINDOURI,House with Bowinduri,Constanta,CONSTANTA,﻿КЪЩАТА С ЕРКЕРИТЕ,Цонстанта,ЦОНСТАНТА,44.171017,28.622562
1103,CASA CU LEI,House with Lions,Constanta,CONSTANTA,﻿Къщата с лъвовете,Цонстанта,ЦОНСТАНТА,44.18102,28.618563
1104,CASA CUCULIS,House Cuculis,Constanta,CONSTANTA,﻿Къща Кукулис,Цонстанта,ЦОНСТАНТА,44.17502,28.616562
1105,CASA DE CULTURA A SINDICATELOR,Unions House of Culture,Constanta,CONSTANTA,﻿ВОЕННОМОРСКИ МУЗЕЙ,Цонстанта,ЦОНСТАНТА,44.171017,28.606562
1106,CASA GRIGORIU,House Grigoriu,Constanta,CONSTANTA,﻿КЪЩА ГРИГОРИУ,Цонстанта,ЦОНСТАНТА,44.184017,28.621563
1107,CASA ING. PASLA,House of Engineer Pâsla,Constanta,CONSTANTA,﻿КЪЩА ПЪСЛЪ,Цонстанта,ЦОНСТАНТА,44.170017,28.619562
1108,CASA MANICARTIDE,House Manicatide,Constanta,CONSTANTA,﻿Къща Маникатиде,Цонстанта,ЦОНСТАНТА,44.16602,28.617563
1109,CASA PILESCU,House Pilescu,Constanta,CONSTANTA,Къща Пилеску,Цонстанта,ЦОНСТАНТА,44.176018,28.612562
1110,CASA SOMANESCU,House Şomănescu,Constanta,CONSTANTA,﻿КЪЩА ШОМЪНЕСКУ,Цонстанта,ЦОНСТАНТА,44.176018,28.623562
1111,CASA SULMONA NR. 19,House Sulmona,Constanta,CONSTANTA,﻿КЪЩА СУЛМОНА,Цонстанта,ЦОНСТАНТА,44.18102,28.611563
1112,CASA TEODOROU ROUSOU,House Teodorou Rousou,Constanta,CONSTANTA,﻿Къща Теодор Русо,Цонстанта,ЦОНСТАНТА,44.16702,28.611563
1113,CASA THEILER,House Theiler,Constanta,CONSTANTA,﻿Къща Тейлър,Цонстанта,ЦОНСТАНТА,44.177017,28.599562
1114,CASA ZAFIRIOS KYRIAKOU,House Zafirios Kyriakou,Constanta,CONSTANTA,﻿Къща Зафириос Кириаку,Цонстанта,ЦОНСТАНТА,44.169018,28.608562
1115,CASA ZOTTU,House Zottu,Constanta,CONSTANTA,﻿КЪЩА ЗОТУ,Цонстанта,ЦОНСТАНТА,44.16802,28.624563
1116,CASINO CONSTANTA,Casino Constanta,Constanta,CONSTANTA,﻿КАЗИНО КОНСТАНЦА,Цонстанта,ЦОНСТАНТА,44.18102,28.605562
1118,CERCUL MILITAR,Military Club,Constanta,CONSTANTA,﻿ВОЕННО ОКРЪЖИЕ КОНСТАНЦА,Цонстанта,ЦОНСТАНТА,44.18102,28.610563
1119,CETATEA TOMIS,Fortress Tomis,Constanta,CONSTANTA,﻿ГРАД ТОМИС,Цонстанта,ЦОНСТАНТА,44.172016,28.610563
1120,COLEGIUL NATIONAL PEDAGOGIC,National Pedagogic College,Constanta,CONSTANTA,﻿Национален педагогически колеж,Цонстанта,ЦОНСТАНТА,44.183018,28.618563
1121,COMANDAMENTUL MARINEI MILITARE,Navy Command,Constanta,CONSTANTA,﻿Командване на Военноморския флот,Цонстанта,ЦОНСТАНТА,44.171017,28.624563
1124,FARUL CAROL I,Lighthouse Charles I,Constanta,CONSTANTA,﻿ФАР КАРОЛ I,Цонстанта,ЦОНСТАНТА,44.172016,28.612562
1125,FARUL CONSTANTA,Lighthouse Constanta,Constanta,CONSTANTA,﻿ФАР КОНСТАНЦА,Цонстанта,ЦОНСТАНТА,44.18102,28.620562
1126,FARUL GENOVEZ,Genovese Lighthouse,Constanta,CONSTANTA,﻿ГЕНУЕЗКИЯТ ФАР,Цонстанта,ЦОНСТАНТА,44.16602,28.618563
1127,FOSTUL HOTEL MERCUR,Former Hotel Mercur,Constanta,CONSTANTA,﻿БИВШИЯТ ХОТЕЛ МЕРКУРИЙ,Цонстанта,ЦОНСТАНТА,44.18102,28.607563
1128,FOST HOTEL SI CABARET BRITANIA,Cabaret Britania,Constanta,CONSTANTA,﻿КАБАРЕ БРИТАНИЯ,Цонстанта,ЦОНСТАНТА,44.17202,28.616564
1129,FOSTA RESEDINTA REGALA,Former Royal Residence,Constanta,CONSTANTA,﻿БИВШАТА КРАЛСКА РЕЗИДЕНЦИЯ,Цонстанта,ЦОНСТАНТА,44.16702,28.609562
1130,GARA MARITIMA CONSTANTA,Constanta Maritime Station,Constanta,CONSTANTA,﻿Старата борса,Цонстанта,ЦОНСТАНТА,44.17102,28.617563
1133,GRUP STATUAR PESCARII,Statuary Group Fishermen,Constanta,CONSTANTA,﻿ГРУПОВА СТАТУЯ НА РИБАРИ,Цонстанта,ЦОНСТАНТА,44.179016,28.613562
1134,HANUL BALCAN,Inn Balcan,Constanta,CONSTANTA,﻿ХАН БАЛКАН,Цонстанта,ЦОНСТАНТА,44.18202,28.620562
1135,HOTEL INTIM,Hotel Intim,Constanta,CONSTANTA,﻿ХОТЕЛ ИНТИМ,Цонстанта,ЦОНСТАНТА,44.185017,28.607563
1137,LICEUL MIHAI EMINESCU,Mihai Eminescu High School,Constanta,CONSTANTA,﻿ГИМНАЗИЯ МИХАЙ ЕМИНЕСКУ,Цонстанта,ЦОНСТАНТА,44.17302,28.616562
1138,MICRODELTA,Microdelta,Constanta,CONSTANTA,﻿МИКРОДЕЛТА,Цонстанта,ЦОНСТАНТА,44.18102,28.613562
1139,STATUIE LUPOAICA,Wolf Statue,Constanta,CONSTANTA,﻿СТАТУЯТА ВЪЛЧИЦА,Цонстанта,ЦОНСТАНТА,44.17302,28.608562
1140,MONUMENT CADEREA DE PE SOCLU,Monument Fall off Base,Constanta,CONSTANTA,﻿ПАМЕТНИК ПАДАНЕТО ОТ ПИЕДЕСТАЛА,Цонстанта,ЦОНСТАНТА,44.170017,28.611563
1141,MONUMENTUL EROILOR,Heroes Monument,Constanta,CONSTANTA,﻿ПАМЕТНИК НА ГЕРОИТЕ,Цонстанта,ЦОНСТАНТА,44.171017,28.619562
1142,MONUMENTUL MARINARILOR ROMANI,Romanian Sailors Monument,Constanta,CONSTANTA,﻿Паметник на румънските моряци,Цонстанта,ЦОНСТАНТА,44.185017,28.620562
1143,MONUMENTUL VICTORIEI,Victory Monument,Constanta,CONSTANTA,﻿ПАМЕТНИК НА ПОБЕДАТА,Цонстанта,ЦОНСТАНТА,44.16702,28.623562
1145,MUZEUL DE ARTA CONSTANTA,Art Museum Constanta,Constanta,CONSTANTA,МУЗЕЙ НА ИЗКУСТВАТА КОНСТАНЦА,Цонстанта,ЦОНСТАНТА,44.185017,28.606562
1146,MUZEUL DE ARTA POPULARA CONSTANTA,Folk Art Museum Constanta,Constanta,CONSTANTA,﻿МУЗЕЙ ЗА НАРОДНО ТВОРЧЕСТВО,Цонстанта,ЦОНСТАНТА,44.185017,28.625563
1147,MUZEUL DE ISTORIE,History Museum Constanta,Constanta,CONSTANTA,﻿ИСТОРИЧЕСКИЯТ МУЗЕЙ,Цонстанта,ЦОНСТАНТА,44.17302,28.619562
1148,MUZEUL DE SCULPTURA ION JALEA,Sculpture Museum Ion Jalea,Constanta,CONSTANTA,﻿МУЗЕЯ ЗА СКУЛПТУРА ЙОН ЖАЛЯ,Цонстанта,ЦОНСТАНТА,44.16602,28.607563
1149,MUZEUL EDIFICIUL CU MOZAIC,Edifice with Mosaic Museum,Constanta,CONSTANTA,﻿МУЗЕЙ РИМСКАТА СГРАДА С МОЗАЙКА,Цонстанта,ЦОНСТАНТА,44.171017,28.611563
1150,MUZEUL MARINEI,Navy Museum Constanta,Constanta,CONSTANTA,﻿ВОЕННОМОРСКИ МУЗЕЙ,Цонстанта,ЦОНСТАНТА,44.18102,28.617563
1151,MUZEUL MILITAR CONSTANTA,Military Museum,Constanta,CONSTANTA,﻿ВОЕННИЯТ МУЗЕЙ,Цонстанта,ЦОНСТАНТА,44.178017,28.605562
1152,NATURA DINO PARK,Natura Dino Park,Constanta,CONSTANTA,﻿НАТУРА ДИНО ПАРК,Цонстанта,ЦОНСТАНТА,44.172016,28.620562
1153,OBSERVATOR ASTRONOMIC,Astronomical Observatory,Constanta,CONSTANTA,﻿Астрономическа обсерватория,Цонстанта,ЦОНСТАНТА,44.16802,28.620562
1154,OFICIUL TELEFONIC CONSTANTA,Phone Office,Constanta,CONSTANTA,﻿Телефонна станция,Цонстанта,ЦОНСТАНТА,44.169018,28.625563
1155,PALATUL ARHIEPISCOPIEI,Archdiocese Palace,Constanta,CONSTANTA,﻿АРХИЕПИСКОПСКИЯ ДВОРЕЦ,Цонстанта,ЦОНСТАНТА,44.17402,28.606562
1156,PARCUL ARHEOLOGIC,Archaeological Park,Constanta,CONSTANTA,﻿Археологически парк,Цонстанта,ЦОНСТАНТА,44.170017,28.615562
1157,PARCUL GARII,Park of the Station,Constanta,CONSTANTA,﻿ПАРКЪТ НА ГАРАТА,Цонстанта,ЦОНСТАНТА,44.16702,28.605562
1158,PARCUL TABACARIEI,Park Tăbăcăriei,Constanta,CONSTANTA,﻿ПАРК ТЪБЪКАРИЕЙ,Цонстанта,ЦОНСТАНТА,44.17502,28.619562
1159,PLANETARIU,Planetarium,Constanta,CONSTANTA,﻿ПЛАНЕТАРИУМ,Цонстанта,ЦОНСТАНТА,44.170017,28.608562
1161,PRIMARIA CONSTANTA,Constanta City Hall,Constanta,CONSTANTA,﻿Кметство Констанца,Цонстанта,ЦОНСТАНТА,44.17502,28.624563
1163,SILOZURILE ANGHEL SALIGNY,Anghel Saligny Silos,Constanta,CONSTANTA,﻿Силозите Ангел Салини,Цонстанта,ЦОНСТАНТА,44.18202,28.606562
1164,STATUIA ARUNCATORUL CU DISCUL,Disc Thrower Statue,Constanta,CONSTANTA,﻿СТАТУЯ ДИСКОХВЪРГАЧ,Цонстанта,ЦОНСТАНТА,44.177017,28.624563
1165,STATUIA CARMEN SYLVA,Statue of Carmen Sylva,Constanta,CONSTANTA,﻿СТАТУЯ КАРМЕН СИЛВА,Цонстанта,ЦОНСТАНТА,44.18202,28.609562
1166,STATUIA EXTAZ,Statue Extaz,Constanta,CONSTANTA,﻿Статуя Екстаз,Цонстанта,ЦОНСТАНТА,44.172016,28.622562
1167,STATUIA FATA LA MARE,Statue Girl at Sea,Constanta,CONSTANTA,﻿Статуя Момиче на море,Цонстанта,ЦОНСТАНТА,44.178017,28.615562
1168,STATUIA FAUN SI NIMFA,Faun and Nymph Statue,Constanta,CONSTANTA,﻿Статуя фавн и нимфа,Цонстанта,ЦОНСТАНТА,44.185017,28.624563
1169,STATUIA LUI MIHAI EMINESCU,Statue of Mihai Eminescu,Constanta,CONSTANTA,﻿СТАТУЯТА НА МИХАЙ ЕМИНЕСКУ,Цонстанта,ЦОНСТАНТА,44.183018,28.622562
1170,STATUIA LUI OVIDIU,Ovid's Statue,Constanta,CONSTANTA,﻿СТАТУЯТА НА ОВИДИЙ,Цонстанта,ЦОНСТАНТА,44.178017,28.621563
1171,STATUIA TINERETE,Statue Youth,Constanta,CONSTANTA,﻿Статуя Младост,Цонстанта,ЦОНСТАНТА,44.178017,28.616562
1176,TERMELE ROMANE,Roman Thermae,Constanta,CONSTANTA,﻿РИМСКИ БАНИ,Цонстанта,ЦОНСТАНТА,44.183018,28.610563
1177,TRIBUNALUL CONSTANTA,Constanta Tribunal,Constanta,CONSTANTA,﻿ТРИБУНАЛ КОНСТАНЦА,Цонстанта,ЦОНСТАНТА,44.183018,28.611563
1178,VILA REGALA,Royal Villa,Constanta,CONSTANTA,﻿КРАЛСКАТА ВИЛА,Цонстанта,ЦОНСТАНТА,44.18202,28.618563
1179,VILA SUTU,Vila Sutu,Constanta,CONSTANTA,﻿ВИЛА ШУЦУ,Цонстанта,ЦОНСТАНТА,44.178017,28.609562
1180,OBELISC,Obelisk,Costinesti,CONSTANTA,﻿Обелиск,Цостинести,ЦОНСТАНТА,43.947433,28.62976
1184,GRUP STATUAR COPII,Statuary Group Children,Eforie Nord,CONSTANTA,﻿Статуйна група деца,Ефорие Норд,ЦОНСТАНТА,44.0662,28.63535
1185,HOTEL BELONA,Hotel Belona,Eforie Nord,CONSTANTA,﻿ХОТЕЛ БЕЛОНА,Ефорие Норд,ЦОНСТАНТА,44.0572,28.636349
1187,PARCUL MOVILA,Park Movila,Eforie Sud,CONSTANTA,﻿Стара Борса,Ефорие Суд,ЦОНСТАНТА,44.027798,28.65043
1188,ANSAMBLUL VASILE COTOVU,Vasile Cotovu Ensemble,Harsova,CONSTANTA,﻿Ансамбъл Василе Котову,Харсова,ЦОНСТАНТА,44.69241,27.954594
1190,CETATEA CARSIUM,Fortress Carsium,Harsova,CONSTANTA,﻿Крепостта Карсиум,Харсова,ЦОНСТАНТА,44.68641,27.958593
1192,MUZEUL CARSIUM,Museum Carsium,Harsova,CONSTANTA,﻿Музей Карсиум,Харсова,ЦОНСТАНТА,44.68341,27.961594
1193,CETATEA HISTRIA,Histria Citadel,Histria,CONSTANTA,﻿Крепостта Хистрия,Хистриа,ЦОНСТАНТА,44.172386,28.613743
1194,COMPLEX ARHEOLOGIC HISTRIA,Archaeological Complex Histria,Histria,CONSTANTA,﻿Археологичен комплекс Хистрия,Хистриа,ЦОНСТАНТА,44.166386,28.606743
1195,CETATEA CALLATIS,Callatis Citadel,Mangalia,CONSTANTA,﻿Крепостта Калатис,Мангалиа,ЦОНСТАНТА,43.822468,28.583664
1198,MORMANTUL CU PAPYRUS,Tomb with Papyrus,Mangalia,CONSTANTA,﻿Гробницата с папирус,Мангалиа,ЦОНСТАНТА,43.823467,28.575665
1199,MUZEUL DE ARHEOLOGIE CALLATIS,Museum of Archaeology Callatis,Mangalia,CONSTANTA,﻿Археологически музей Калатис,Мангалиа,ЦОНСТАНТА,43.818466,28.591663
1201,SITUL ARHEOLOGIC MANGALIA,Archaeological Site Mangalia,Mangalia,CONSTANTA,﻿Археологически обект Мангалия,Мангалиа,ЦОНСТАНТА,43.817467,28.593664
1204,CETATEA ULMETUM,Fortress Ulmetum,Pantelimon,CONSTANTA,﻿Крепостта Улметум,Пантелимон,ЦОНСТАНТА,44.547035,28.330523
1207,CHEILE DOBROGEI,Dobrogea Gorges,Tirgusor,CONSTANTA,﻿Добруджанските клисури,Тиргусор,ЦОНСТАНТА,44.45791,28.416595
1208,MONUMENTUL EROILOR,Heroes Monument,Tirgusor,CONSTANTA,﻿ПАМЕТНИКЪТ НА ГЕРОИТЕ,Тиргусор,ЦОНСТАНТА,44.459908,28.416595
1209,MUZEUL DE ARTA,Art Museum,Topalu,CONSTANTA,﻿Музея на изкуството,Топалу,ЦОНСТАНТА,44.551838,28.050297
1210,Muzeul Marinei Mangalia,Navy Museum,Mangalia,CONSTANTA,﻿ВОЕННОМОРСКИ МУЗЕЙ,Мангалиа,ЦОНСТАНТА,43.81347,28.582664
1211,Situl Arheologic statia de biogaz Mangalia,Biogas Station Archaeological Site,Mangalia,CONSTANTA,﻿Археологически обект биогаз станция,Мангалиа,ЦОНСТАНТА,43.823467,28.580664
1212,Ansamblul rupestru Murfatlar,Murfatlar Cave Complex,Murfatlar,CONSTANTA,﻿ПЕЩЕРЕН АНСАМБЪЛ МУРФАТЛАР,Мурфатлар,ЦОНСТАНТА,44.18165,28.405975
1213,Rezervatia Naturala Padurea Fantanita,Fântâniţa Forest Nature Reserve,Murfatlar,CONSTANTA,ПРИРОДЕН РЕЗЕРВАТ ГОРАТА ФЪНТЪНИЦА,Мурфатлар,ЦОНСТАНТА,44.17265,28.408976
1214,Turn de Apa,Water Tower,Murfatlar,CONSTANTA,﻿Водна кула,Мурфатлар,ЦОНСТАНТА,44.184647,28.402975
1215,Gara Murfatlar,Station Murfatlar,Murfatlar,CONSTANTA,﻿ГАРА МУРФАТЛАР,Мурфатлар,ЦОНСТАНТА,44.176647,28.398975
1217,Conacul Mihail Kogalniceanu,Mihail Kogalniceanu Mansion,Murfatlar,CONSTANTA,﻿КОНАК МИХАИЛ КОГЪЛНИЧАНУ,Мурфатлар,ЦОНСТАНТА,44.175648,28.395975
1219,Muzeul Viei si al Vinului,Vineyard and Wine Museum,Murfatlar,CONSTANTA,﻿МУЗЕЙ НА ЛОЗЕТО И ВИНОТО,Мурфатлар,ЦОНСТАНТА,44.180645,28.403975
1220,Muzeul Eroilor Murfatlar,Heroes Monument Murfatlar,Murfatlar,CONSTANTA,﻿Паметникът на героите Мурфатлар,Мурфатлар,ЦОНСТАНТА,44.18165,28.406975
1221,Seminarul Musulman,Muslim Seminar,Medgidia,CONSTANTA,﻿МЮСЮЛМАНСКА СЕМИНАРИЯ,Медгидиа,ЦОНСТАНТА,44.260967,28.280512
1222,Casa Murad G. Ali,House Murad Ali G.,Medgidia,CONSTANTA,﻿Къща Мурад Г. Али,Медгидиа,ЦОНСТАНТА,44.255966,28.274511
1223,Statuie Femeia cu Harpa,Woman with Harp Statue,Medgidia,CONSTANTA,﻿СТАТУЯ ЖЕНА С АРФА,Медгидиа,ЦОНСТАНТА,44.25197,28.273512
1225,Monumentul Eroilor Sarbi,Serbian Heroes Monument,Medgidia,CONSTANTA,﻿ПАМЕТНИКА НА СРЪБСКИТЕ ГЕРОИ,Медгидиа,ЦОНСТАНТА,44.262966,28.278511
1226,Primaria Medgidia,City Hall Medgidia,Medgidia,CONSTANTA,﻿Кметство Меджидия,Медгидиа,ЦОНСТАНТА,44.25197,28.275513
1227,Crama Lipnita,Winery Lipnita,Ostrov,CONSTANTA,﻿ВИНАРСКА ИЗБА ЛИПНИЦА,Остров,ЦОНСТАНТА,44.10261,27.371124
1228,Crama Ostrov,Winery Ostrov,Ostrov,CONSTANTA,﻿ИЗБА ОСТРОВ,Остров,ЦОНСТАНТА,44.09761,27.361124
1229,Cetatea Bizantina Vicina,Vicina Byzantine Fortress,Ostrov,CONSTANTA,﻿КРЕПОСТТА ВИЧИНА,Остров,ЦОНСТАНТА,44.11261,27.362123
1230,Peretii Calcarosi de la Petrosani,Limestone Walls from Petrosani,Ostrov,CONSTANTA,﻿ВАРОВИКОВИТЕ СТЕНИ В ПЕТРОШАН,Остров,ЦОНСТАНТА,44.100613,27.380125
1231,Muzeul Satesc Limanu,Village Museum,Limanu,CONSTANTA,﻿СЕЛСКИ МУЗЕЙ ЛИМАНУ,Лиману,ЦОНСТАНТА,43.796387,28.532852
1233,Muzeul arheologic Adamclisi,Archaeological Museum Adamclisi,Adamclisi,CONSTANTA,﻿АРХЕОЛОГИЧЕСКИ МУЗЕЙ – АДАМ КЛИСИ,Адамцлиси,ЦОНСТАНТА,44.083202,27.950617
1234,Monumentul Trophaeum Traiani,Monument Trophaeum Trajani,Adamclisi,CONSTANTA,﻿ПАМЕТНИКЪТ ТРОПЕУМ ТРАЯНИ,Адамцлиси,ЦОНСТАНТА,44.089203,27.954617
1235,Cetatea Adamiclisi,Fortress Adamclisi,Adamclisi,CONSTANTA,﻿КРЕПОСТТА АДАМКЛИСИ,Адамцлиси,ЦОНСТАНТА,44.0842,27.942617
1236,Basilica Adamclisi,Basilique Adamclisi,Adamclisi,CONSTANTA,﻿БАЗИЛИКА АДАМКЛИСИ,Адамцлиси,ЦОНСТАНТА,44.0772,27.953617
2591,Castelul Medieval Baba Vida,Medieval Castle Baba Vida,Vidin, Vidin,Средновековната крепост Баба Вида,Видин, Видин,43.993332,22.875761
2592,Muzeul Krastata Kazarma,Krastata Kazarma Museum,Vidin, Vidin,Казарма музей кръст,Видин, Видин,43.99433,22.86576
2593,Muzeul Konaka,Konaka Museum,Vidin, Vidin,Конака музей,Видин, Видин,43.99433,22.87376
2594,Galeria de artă Nikola Petrov,Art Gallery Nikola Petrov,Vidin, Vidin,Художествена галерия Никола Петров,Видин, Видин,43.98833,22.87376
2595,Stâncile Belograchik,Belogradchik Rocks,Belograchik, Vidin,скали Белоградчик,Белограчик, Видин,44.08246,23.032877
2596,Muzeul de Istorie din Vidin,History Museum in Vidin,Vidin, Vidin,Исторически музей Видин,Видин, Видин,43.984333,22.878761
2597,Vechea Poștă Turcească,Turkish Old Post Office,Vidin, Vidin,Old Post турски,Видин, Видин,43.993332,22.882761
2598,Moscheea și Biblioteca Osman Pazvantoglu,Osman Pazvantoglu Mosque and Library,Vidin, Vidin,Осман Пазвантоглу джамия библиотека,Видин, Видин,43.983334,22.867762
2599,Muzeul de Istorie din Belogradchik,History Museum in Belogradchik,Belograchik, Vidin,Исторически музей в Белоградчик,Белограчик, Видин,44.083458,23.033876
2600,Observatorul Astronomic,Astronomical Observatory,Belograchik, Vidin,астрономическа обсерватория,Белограчик, Видин,44.08246,23.026876
2601,Pivnița de vinuri Borovitsa,The wine cellar Borovitsa,Belogradchik, Vidin,Винарската изба Боровица,Белоградчик, Видин,43.6252,22.686516
2602,Cetatea Kaleto,Fortress Kaleto,Belogradchik, Vidin,Крепостта Калето,Белоградчик, Видин,43.6312,22.677515
2603,Hanul Madonna din Falkovets,Madonna Inn Falkovets,Yanyovets, Vidin,Мадона Фалковец,Ыаныоветс, Видин,44.08746,23.027878
2604,Cetatea Castra Martis,Fortress Castra Martis,Vidin, Vidin,Крепост Кастра Мартис,Видин, Видин,43.991333,22.875761
2605,Cetatea Romană Ad Marum,Roman Fortress Ad Marum,Koshava, Vidin,Римска крепост Рекламен Marum,Кошава, Видин,44.07322,23.029575
2606,Cetatea Romană Ratsaria,Roman Fortress Ratsara,Archar, Vidin,Римска крепост Ratsara,Арчар, Видин,43.809666,22.919477
2607,Cetatea Florentiana,Fortress Florentiana,Florentin, Vidin,Крепостта Флорентиана,Флорентин, Видин,44.134975,22.849974
2608,Teatrul de Stat de Păpuși,State Puppet Theatre,Vidin, Vidin,Държавен куклен театър,Видин, Видин,43.99433,22.88376
2609,Biblioteca Regională,Regional Library,Vidin, Vidin,Регионална библиотека,Видин, Видин,43.985332,22.870762
2610,Centrul comunitar Tsvyat,Community center Tsvyat,Vidin, Vidin,Читалище цвят,Видин, Видин,43.983334,22.884762
2611,Stambol Kapiya,Stambol Kapiya,Vidin, Vidin,Стамболич капия,Видин, Видин,43.98933,22.875761
2612,Turnul Ceasului satul Chuprene,Clock Tower Village Chuprene,Chuprene, Vidin,Часовниковата кула Село Чупрене,Цхупрене, Видин,43.49489,22.688002
2613,Muzeul Științei și Naturii,Museum of Science and Nature,Belogradchik, Vidin,Музей на науката и природата,Белоградчик, Видин,43.6252,22.688517
2614,Casa Culturii Dezvoltarea,House of Culture Dezvoltarea,Belogradchik, Vidin,Дом на културата Развитие,Белоградчик, Видин,43.6222,22.694515
2615,Casa de Cultură Dezvoltarea,House of Culture Development,Bregovo, Vidin,Дом на културата Развитие,Брегово, Видин,44.125664,22.665447
2616,Casa de Cultură Iluminarea,House of Culture Enlightenment, Vazrajdane, Vidin,Дом на културата Просвещение, Вазрайдане, Видин,43.99457,22.881243
2617,Casa de cultură Paisii Hilendarski,House of Culture Paisii Hilendarski,Dimovo, Vidin,Паисий Хилендарски Културен дом,Димово, Видин,43.741478,22.727198
2618,Casa de Cultură Mito Markov,House of Culture Mito Markov,Makresh, Vidin,Дом на културата Мито Марков,Макреш, Видин,43.76872,22.660122
2619,Galeria de artă - Belogradchik,Art Gallery - Belogradchik,Belogradchik, Vidin,Художествена галерия - Белоградчик,Белоградчик, Видин,43.6162,22.681517
2620,Dimitrovden - 26 Octombrie,Dimitrovden - October 26,Vidin, Vidin,Димитровден - 26 октомври,Видин, Видин,43.986332,22.87676
2621,Ziua Iordanului - 6 Ianuarie,Jordan Day - January 6,Vidin, Vidin,Йордания Day - 06 Януари,Видин, Видин,44.00333,22.868761
2622,Regata Internațională a Dunării în August,Danube International Regatta in August,Vidin, Vidin,Дунав Международната регата през август,Видин, Видин,43.986332,22.881762
2623,Drumeții pe muntele Midgur în iulie,Hiking Mount Midzhur in July,Vidin, Vidin,Туризъм Mount Midgur през юли,Видин, Видин,44.00333,22.885761
2624,Dansând pe Dunăre - Baba Vida,Dancing on the Danube - Baba Vida,Vidin, Vidin,Танцуващата по река Дунав - Баба Вида,Видин, Видин,43.990334,22.885761
2625,Festivalul de Folk din Belogradchik,Folk Festival in Belogradchik,Belogradchik, Vidin,Фолклорен фестивал в Белоградчик,Белоградчик, Видин,43.627197,22.683516
2626,Festivalul Internațional Salash,International Festival Salash,Novo Korito - Salash, Vidin,фестивал Салаш,Ново Корито - Салаш, Видин,43.613777,22.528107
2627,Felix Romuliana - Rezidența Împ. Galerius,not defined,Vidin, Vidin,Феликс Ромулиана - Kings Residence. Галерий,Видин, Видин,43.99616,22.86793
2628,Sistemul Cetate Kaleto,The Fortress Kaleto System,Vidin, Vidin,Крепостта Калето,Видин, Видин,43.998333,22.87376
2629,Centrul comunitar Obrazovanie,Community center Obrazovanie,Archar, Vidin,Читалище Образование,Арчар, Видин,43.813667,22.912477
2630,Centrul Comunitar Naroden buditel,Community Center Naroden buditel,Oreshets, Vidin,Читалище Народен Будител,Орешетс, Видин,43.63575,22.73343
2631,Centrul comunitar Valiyo Burdashki,Community center Valiyo Burdashki,Izvor, Vidin,Читалище Valiyo Burdashki,Извор, Видин,43.74924,22.8019
2097,Cetatea Castra Ad Montanezium,Fortress Castra Ad Montanezium,Montana, Montana,Крепост Кастра ад Монтанезиум,Монтана, Монтана,43.445618,23.200678
2098,Muzeul de Istorie,History Museum,Montana, Montana,исторически музей,Монтана, Монтана,43.445618,23.193678
2099,Expoziția Arheologică Lapidarium,Archaeological exhibition Lapidarium,Motana, Montana,Археологическа изложба Шлифовач на скъпоценни камъни,Мотана, Монтана,43.452618,23.193678
2100,Muzeul Etnografic,Ethnographic Museum,Berkovitsa, Montana,Етнографски музей,Берковитса, Монтана,43.237392,23.12425
2101,Casa Memorială și Muzeul Ivan Vazov,Memorial House and Museum Ivan Vazov,Berkovitsa, Montana,Къща Мемориален музей на Иван Вазов,Берковитса, Монтана,43.227394,23.12425
2102,Muzeul de Istorie,History Museum,Lom, Montana,исторически музей,Лом, Монтана,43.81868,23.244501
2103,Muzeul Etnografic Katerina Kushta,Ethnographic Museum Katerina Kushta,Chiprovtsi, Montana,Етнографски музей Катерина Къща,Цхипровтси, Монтана,43.4247,22.899633
2104,Turnul cu Ceas din Berkovitsa,Clock Tower in Berkovitsa,Berkovitsa, Montana,Часовниковата кула Берковица,Берковитса, Монтана,43.235394,23.12425
2105,Casa Krasteva,House Krasteva,Berkovitsa, Montana,къща Кръстева,Берковитса, Монтана,43.229393,23.11525
2106,Galeria de artă,Art Gallery,Berkovitsa, Montana,картинна галерия,Берковитса, Монтана,43.230392,23.123251
2107,Baia turcească,Turkish bath,Berkovitsa, Montana,турска баня,Берковитса, Монтана,43.237392,23.12925
2108,Galeria de artă Kiril Petrov,Art Gallery Kiril Petrov,Montana, Montana,Художествена галерия Кирил Петров,Монтана, Монтана,43.44462,23.194677
2109,Cetatea antică medievală,Ancient medieval fortress,Berkovitsa, Montana,Древна средновековна крепост,Берковитса, Монтана,43.236393,23.11825
2110,Fântâna de apă Malinarka,Water Fountain Malinarka,Berkovitsa, Montana,Чешма Малинарка,Берковитса, Монтана,43.23239,23.12225
2111,Casa lui Mihailov,Mihailov's house,Montana, Montana,Михайлов къща,Монтана, Монтана,43.44962,23.210678
2112,Expoziție muzeu,Museum exhibition,Varshets, Montana,музейна експозиция,Варшетс, Монтана,43.194473,23.285316
2113,Galerie de Artă,Art Gallery,Varshets, Montana,картинна галерия,Варшетс, Монтана,43.188473,23.293316
2114,Cetatea Piatră,Fortress Stone,Botunya, Montana,крепост Стоун,Ботуныа, Монтана,43.193047,23.288198
2115,Teatrul de dramă Dragomir Asenov,Drama Theatre Dragomir Asenov,Montana, Montana,Драматичен театър Драгомир Асенов,Монтана, Монтана,43.455616,23.204678
