1417,﻿Cula Cuțui,Broșteni, Mehedinţi,Stronghold Cutui,Broșteni, Mehedinţi
1243,Bustul lui Eugen Cialic,Călăraşi, Călărași,Bust of Eugen Cialic,Călăraşi, Călărași
1244,Casa Ana și Marinache Popescu,Călăraşi, Călăraşi,House Ana and Marinache Popescu,Călăraşi, Călăraşi
1245,Casa Constantin Tican,Călărași, Călărași,House Constantin Tican,Călărași, Călărași
1248,Monumentul Eroilor,Călărași, Călăraşi,Heroes Monument,Călărași, Călăraşi
1249,Muzeul Dunării de Jos,Călăraşi, Călăraşi,Lower Danube Museum,Călăraşi, Călăraşi
1250,Muzeul Municipal Călăraşi,Călăraşi, Călăraşi,Municipal Museum Calarasi,Călăraşi, Călăraşi
1251,Palatul Prefecturii Călăraşi,Călăraşi, Călăraşi,Calarasi Prefecture Palace,Călăraşi, Călăraşi
1252,Parcul Florilor,Călărași, Călăraşi,Flower Park,Călărași, Călăraşi
1253,Parcul Municipal,Călărași, Călăraşi,Municipal Park,Călărași, Călăraşi
1254,Primăria Călărași,Călărași, Călăraşi,City Hall Calarasi,Călărași, Călăraşi
1255,Școala Gimnazială Carol I,Călărași, Călăraşi,Charles I Middle School,Călărași, Călăraşi
1256,Statuia Carol I,Călărași, Călăraşi,Statue of Charles I,Călărași, Călăraşi
1257,Statuia Mihai Eminescu,Călărași, Călăraşi,Statue of Mihai Eminescu,Călărași, Călăraşi
1258,Statuia lui Ionel Brătianu,Călărași, Călăraşi,Statue of Ionel Brătianu,Călărași, Călăraşi
1259,Vechea Primărie,Călărași, Călăraşi,Old Town Hall,Călărași, Călăraşi
1264,Lacul Frasinet,Frasinet, Călăraşi,Lake Frasinet,Frasinet, Călăraşi
1266,Casa Memorială Alexandru Sahia,Mănăstirea, Călăraşi,Alexandru Sahia Memorial House,Mănăstirea, Călăraşi
1271,Monumentul Eroilor,Oltenița, Călăraşi,Heroes Monument,Oltenița, Călăraşi
1272,Monumentul Eroilor Ruși,Oltenița, Călăraşi,Russian Heroes Monument,Oltenița, Călăraşi
1273,Muzeul Civilizației Gumelnița,Oltenița, Călăraşi,Civilisation Museum Gumelniţa,Oltenița, Călăraşi
1274,Turnul de Apă,Oltenița, Călăraşi,Water tower,Oltenița, Călăraşi
1280,Lacul Valea Roșie,Valea Roșie, Călăraşi,Lake Red Valley,Valea Roșie, Călăraşi
1282,Ruinele Bisericii Frunzănești,Fundeni, Călăraşi,Frunzanesti Church Ruins,Fundeni, Călăraşi
1283,Ansamblul Curții Boierilor Dudescu,Fundeni, Călăraşi,Boyar Dudescu Court Ensemble,Fundeni, Călăraşi
1067,Cetatea Capidava,Constanța,Fortress Capidava,Constanța
1072,Monumentul Eroilor,Cernavodă, Constanța,Heroes Monument,Cernavodă, Constanța
1073,Muzeul Axiopolis,Cernavodă, Constanța,Axiopolis Museum,Cernavodă, Constanța
1074,Podul Carol I,Cernavodă, Constanța,Charles I Bridge,Cernavodă, Constanța
1080,Bancă Str. Arhepiscopiei Nr. 9,Constanța, Constanța,Bank 9 Arhepiscopiei Street,Constanța, Constanța
1090,Bursa Veche,Constanța, Constanța,Old Stock Exchange,Constanța, Constanța
1091,Bustul lui Ion Bănescu,Giurgiu, Constanța,Bust Ion Bănescu,Giurgiu, Constanța
1092,Bustul lui Grigore Antipa,Giurgiu, Constanța,Bust of Grigore Antipa,Giurgiu, Constanța
1093,Bustul lui Vasile Pârvan,Constanța, Constanța,Bust of Vasile Parvan,Constanța, Constanța
1094,Casa Alleon,Constanţa, Constanța,House Alleon,Constanţa, Constanța
1095,Casa Avocat Bârzan,Constanța, Constanța,House Lawyer Barzan,Constanța, Constanța
1096,Casa Avocat Traian Bellu,Constanța, Constanța,House Lawyer Traian Bellu,Constanța, Constanța
1097,Casa Bănescu,Constanța, Constanța,House Banescu,Constanța, Constanța
1098,Casa Barzanescu,Constanța, Constanța,House Barzanescu,Constanța, Constanța
1099,Casa Cananau,Constanța, Constanța,House Cananau,Constanța, Constanța
1100,Casa Capitan Stanescu,Constanța, Constanța,House Capitan Stanescu,Constanța, Constanța
1101,Casa Constantinidi,Constanța, Constanța,House Constantinidi,Constanța, Constanța
1102,Casa cu Bowinduri,Constanța, Constanța,House with Bowinduri,Constanța, Constanța
1103,Casa cu Lei,Constanţa, Constanța,House with Lions,Constanţa, Constanța
1104,Casa Cuculis,Constanța, Constanța,House Cuculis,Constanța, Constanța
1105,Casa de Cultură a Sindicatelor,Constanța, Constanța,Unions House of Culture,Constanța, Constanța
1106,Casa Grigoriu,Constanța, Constanța,House Grigoriu,Constanța, Constanța
1107,Casa Ing. Pâsla,Constanța, Constanța,House of Engineer Pâsla,Constanța, Constanța
1108,Casa Manicatide,Constanța, Constanța,House Manicatide,Constanța, Constanța
1109,Casa Pilescu,Constanța, Constanța,House Pilescu,Constanța, Constanța
1110,Casa Șomănescu,Constanța, Constanța,House Şomănescu,Constanța, Constanța
1111,Casa Sulmona,Constanța, Constanța,House Sulmona,Constanța, Constanța
1112,Casa Teodorou Rousou,Constanța, Constanța,House Teodorou Rousou,Constanța, Constanța
1113,Casa Theiler,Constanța, Constanța,House Theiler,Constanța, Constanța
1114,Casa Zafirios Kyriakou,Constanța, Constanța,House Zafirios Kyriakou,Constanța, Constanța
1115,Casa Zottu,Constanța, Constanța,House Zottu,Constanța, Constanța
1116,Cazino Constanța,Constanța, Constanța,Casino Constanta,Constanța, Constanța
1118,Cercul Militar,Constanța, Constanța,Military Club,Constanța, Constanța
1119,Cetatea Tomis,Constanța, Constanța,Fortress Tomis,Constanța, Constanța
1120,Colegiul Național Pedagogic,Constanța, Constanța,National Pedagogic College,Constanța, Constanța
1121,Comandamentul Marinei Militare,Constanța, Constanța,Navy Command,Constanța, Constanța
1124,Farul Carol I,Constanța, Constanța,Lighthouse Charles I,Constanța, Constanța
1125,Farul Constanța,Constanța, Constanța,Lighthouse Constanta,Constanța, Constanța
1126,Farul Genovez,Constanța, Constanța,Genovese Lighthouse,Constanța, Constanța
1127,Fostul Hotel Mercur,Constanța, Constanța,Former Hotel Mercur,Constanța, Constanța
1128,Cabaret Britania,Constanța, Constanța,Cabaret Britania,Constanța, Constanța
1129,Fosta Resedinta Regala,Constanța, Constanța,Former Royal Residence,Constanța, Constanța
1130,Gara Maritimă Constanța,Constanța, Constanța,Constanta Maritime Station,Constanța, Constanța
1133,Grup Statuar Pescarii,Constanța, Constanța,Statuary Group Fishermen,Constanța, Constanța
1134,Hanul Balcan,Constanța, Constanța,Inn Balcan,Constanța, Constanța
1135,Hotel Intim,Constanța, Constanța,Hotel Intim,Constanța, Constanța
1137,Liceul Mihai Eminescu,Constanța, Constanța,Mihai Eminescu High School,Constanța, Constanța
1138,Microdelta,Constanța, Constanța,Microdelta,Constanța, Constanța
1139,Statuie Lupoaica,Constanța, Constanța,Wolf Statue,Constanța, Constanța
1140,Monument Căderea de pe Soclu,Constanța, Constanța,Monument Fall off Base,Constanța, Constanța
1141,Monumentul Eroilor,Constanța, Constanța,Heroes Monument,Constanța, Constanța
1142,Monumentul Marinarilor Români,Constanța, Constanța,Romanian Sailors Monument,Constanța, Constanța
1143,Monumentul Victoriei,Constanța, Constanța,Victory Monument,Constanța, Constanța
1145,Muzeul de Arta Constanța,Constanța, Constanța,Art Museum Constanta,Constanța, Constanța
1146,Muzeul de Artă Populară Constanța,Constanța, Constanța,Folk Art Museum Constanta,Constanța, Constanța
1147,Muzeul de Istorie Constanța,Constanța, Constanța,History Museum Constanta,Constanța, Constanța
1148,Muzeul de Sculptura Ion Jalea,Constanța, Constanța,Sculpture Museum Ion Jalea,Constanța, Constanța
1149,Muzeul Edificiul cu Mozaic,Constanța, Constanța,Edifice with Mosaic Museum,Constanța, Constanța
1150,Muzeul Marinei Constanța,Constanța, Constanța,Navy Museum Constanta,Constanța, Constanța
1151,Muzeul Militar,Constanța, Constanța,Military Museum,Constanța, Constanța
1152,Natura Dino Park,Constanța, Constanța,Natura Dino Park,Constanța, Constanța
1153,Observator Astronomic,Constanța, Constanța,Astronomical Observatory,Constanța, Constanța
1154,Oficiul Telefonic,Constanța, Constanța,Phone Office,Constanța, Constanța
1155,Palatul Arhiepiscopiei,Constanța, Constanța,Archdiocese Palace,Constanța, Constanța
1156,Parcul Arheologic,Constanța, Constanța,Archaeological Park,Constanța, Constanța
1157,Parcul Gării,Constanța, Constanța,Park of the Station,Constanța, Constanța
1158,Parcul Tăbăcăriei,Constanța, Constanța,Park Tăbăcăriei,Constanța, Constanța
1159,Planetariul,Constanța, Constanța,Planetarium,Constanța, Constanța
1161,Primăria Constanța,Constanța, Constanța,Constanta City Hall,Constanța, Constanța
1163,Silozurile Anghel Saligny,Constanța, Constanța,Anghel Saligny Silos,Constanța, Constanța
1164,Statuia Aruncătorul cu Discul,Constanța, Constanța,Disc Thrower Statue,Constanța, Constanța
1165,Statuia Carmen Sylva,Constanța, Constanța,Statue of Carmen Sylva,Constanța, Constanța
1166,Statuia Extaz,Constanța, Constanța,Statue Extaz,Constanța, Constanța
1167,Statuia Fata la Mare,Constanța, Constanța,Statue Girl at Sea,Constanța, Constanța
1168,Statuia Faun și Nimfă,Constanța, Constanța,Faun and Nymph Statue,Constanța, Constanța
1169,Statuia lui Mihai Eminescu,Constanța, Constanța,Statue of Mihai Eminescu,Constanța, Constanța
1170,Statuia lui Ovidiu,Constanța, Constanța,Ovid's Statue,Constanța, Constanța
1171,Statuia Tinerețe,Constanța, Constanța,Statue Youth,Constanța, Constanța
1176,Termele Romane,Constanța, Constanța,Roman Thermae,Constanța, Constanța
1177,Tribunalul Constanța,Constanța, Constanța,Constanta Tribunal,Constanța, Constanța
1178,Vila Regală,Mamaia, Constanța,Royal Villa,Mamaia, Constanța
1179,Vila Șuțu,Constanța, Constanța,Vila Sutu,Constanța, Constanța
1180,Obelisc,Costinești, Constanța,Obelisk,Costinești, Constanța
1184,Grup Statuar Copii,Eforie Nord, Constanța,Statuary Group Children,Eforie Nord, Constanța
1185,Hotel Belona,Eforie, Constanța,Hotel Belona,Eforie, Constanța
1187,Parcul Movila,Eforie, Constanța,Park Movila,Eforie, Constanța
1188,Ansamblul Vasile Cotovu,Hârșova, Constanța,Vasile Cotovu Ensemble,Hârșova, Constanța
1190,Cetatea Carsium,Hârșova, Constanța,Fortress Carsium,Hârșova, Constanța
1192,Muzeul Carsium,Hârșova, Constanța,Museum Carsium,Hârșova, Constanța
1193,Cetatea Histria,Istria, Constanța,Histria Citadel,Istria, Constanța
1194,Complexul Arheologic Histria,Istria, Constanța,Archaeological Complex Histria,Istria, Constanța
1195,Cetatea Callatis,Mangalia, Constanța,Callatis Citadel,Mangalia, Constanța
1198,Mormantul cu Papyrus,Mangalia, Constanța,Tomb with Papyrus,Mangalia, Constanța
1199,Muzeul de Arheologie Callatis,Mangalia, Constanța,Museum of Archaeology Callatis,Mangalia, Constanța
1201,Situl arheologic Mangalia,Mangalia, Constanța,Archaeological Site Mangalia,Mangalia, Constanța
1204,Cetatea Ulmetum,Pantelimon, Constanța,Fortress Ulmetum,Pantelimon, Constanța
1207,Cheile Dobrogei,DJ222, Constanța,Dobrogea Gorges,DJ222, Constanța
1208,Monumentul Eroilor,Târgușor, Constanța,Heroes Monument,Târgușor, Constanța
1209,Muzeul de Artă,Topalu, Constanța,Art Museum,Topalu, Constanța
1210,Muzeul Marinei,Mangalia, Constanța,Navy Museum,Mangalia, Constanța
1211,Situl Arheologic Statia de Biogaz,Mangalia, Constanța,Biogas Station Archaeological Site,Mangalia, Constanța
1212,Ansamblul Rupestru Murfatlar,Murfatlar, Constanța,Murfatlar Cave Complex,Murfatlar, Constanța
1213,Rezervația Naturală Pădurea Fântânița,Murfatlar, Constanța,Fântâniţa Forest Nature Reserve,Murfatlar, Constanța
1214,Turnul de apă,Murfatlar, Constanța,Water Tower,Murfatlar, Constanța
1215,Gara Murfatlar,Murfatlar, Constanța,Station Murfatlar,Murfatlar, Constanța
1217,Conacul Mihail Kogălniceanu,Murfatlar, Constanța,Mihail Kogalniceanu Mansion,Murfatlar, Constanța
1219,Muzeul Viei şi al Vinului,Murfatlar, Constanța,Vineyard and Wine Museum,Murfatlar, Constanța
1220,Monumentul Eroilor Murfatlar,Murfatlar, Constanța,Heroes Monument Murfatlar,Murfatlar, Constanța
1221,Seminarul Musulman,Medgidia, Constanța,Muslim Seminar,Medgidia, Constanța
1222,Casa Murad G. Ali,Medgidia, Constanța,House Murad Ali G.,Medgidia, Constanța
1223,Statuie Femeia cu Harpă,Medgidia, Constanța,Woman with Harp Statue,Medgidia, Constanța
1225,Monumentul Eroilor Sârbi,Medgidia, Constanța,Serbian Heroes Monument,Medgidia, Constanța
1226,Primăria Medgidia,Medgidia, Constanța,City Hall Medgidia,Medgidia, Constanța
1227,Crama Lipnița,Lipniţa, Constanța,Winery Lipnita,Lipniţa, Constanța
1228,Crama Ostrov,Ostrov, Constanța,Winery Ostrov,Ostrov, Constanța
1229,Cetatea Bizantina Vicina,Insula Pacuiul lui Soare, Constanța,Vicina Byzantine Fortress,Insula Pacuiul lui Soare, Constanța
1230,Pereţii Calcaroși de la Petroșani,Petroșani, Constanța,Limestone Walls from Petrosani,Petroșani, Constanța
1231,Muzeul Sătesc,Limanu, Constanța,Village Museum,Limanu, Constanța
1233,Muzeul Arheologic Adamclisi,Adamclisi, Constanța,Archaeological Museum Adamclisi,Adamclisi, Constanța
1234,Monumentul Trophaeum Traiani,Adamclisi, Constanța,Monument Trophaeum Trajani,Adamclisi, Constanța
1235,Cetatea Adamclisi,Adamclisi, Constanța,Fortress Adamclisi,Adamclisi, Constanța
1236,Basilica Adamclisi,Adamclisi, Constanța,Basilique Adamclisi,Adamclisi, Constanța
2591,Castelul Medieval “Baba Vida”,Vidin, Vidin,Medieval Castle “Baba Vida”,Vidin, Vidin
2592,Muzeul Krastata Kazarma,Vidin, Vidin,Krastata Kazarma Museum,Vidin, Vidin
2593,Muzeul Konaka,Vidin, Vidin,Konaka Museum,Vidin, Vidin
2594,Galeria de artă “Nikola Petrov”,Vidin, Vidin,Art Gallery “Nikola Petrov”,Vidin, Vidin
2595,Stâncile Belograchik,Belograchik, Vidin,Belogradchik Rocks,Belograchik, Vidin
2596,Muzeul de Istorie din Vidin,Vidin, Vidin,History Museum in Vidin,Vidin, Vidin
2597,Vechea Poștă Turcească,Vidin, Vidin,Turkish Old Post Office,Vidin, Vidin
2598,Moscheea și Biblioteca Osman Pazvantoglu,Vidin, Vidin,Osman Pazvantoglu Mosque and Library,Vidin, Vidin
2599,Muzeul de Istorie din Belogradchik,Belograchik, Vidin,History Museum in Belogradchik,Belograchik, Vidin
2600,Observatorul Astronomic,Belograchik, Vidin,Astronomical Observatory,Belograchik, Vidin
2601,Pivnița de vinuri Borovitsa,Belogradchik, Vidin,The wine cellar Borovitsa,Belogradchik, Vidin
2602,Cetatea “Kaleto”,Belogradchik, Vidin,Fortress “Kaleto”,Belogradchik, Vidin
2603,Hanul Madonna din Falkovets,Yanyovets, Vidin,Madonna Inn Falkovets,Yanyovets, Vidin
2604,Cetatea “Castra Martis”,Vidin, Vidin,Fortress “Castra Martis”,Vidin, Vidin
2605,Cetatea Romană “Ad Marum”,Koshava, Vidin,Roman Fortress “Ad Marum”,Koshava, Vidin
2606,Cetatea Romană “Ratsaria”,Archar, Vidin,Roman Fortress “Ratsara”,Archar, Vidin
2607,Cetatea “Florentiana”,Florentin, Vidin,Fortress “Florentiana”,Florentin, Vidin
2608,Teatrul de Stat de Păpuși,Vidin, Vidin,State Puppet Theatre,Vidin, Vidin
2609,Biblioteca Regională,Vidin, Vidin,Regional Library,Vidin, Vidin
2610,Centrul comunitar “Tsvyat”,Vidin, Vidin,Community center “Tsvyat”,Vidin, Vidin
2611,Stambol Kapiya,Vidin, Vidin,Stambol Kapiya,Vidin, Vidin
2612,Turnul Ceasului satul Chuprene,Chuprene, Vidin,Clock Tower Village Chuprene,Chuprene, Vidin
2613,Muzeul Științei și Naturii,Belogradchik, Vidin,Museum of Science and Nature,Belogradchik, Vidin
2614,Casa Culturii “Dezvoltarea”,Belogradchik, Vidin,House of Culture “Dezvoltarea”,Belogradchik, Vidin
2615,Casa de Cultură “Dezvoltarea”,Bregovo, Vidin,House of Culture “Development”,Bregovo, Vidin
2616,Casa de Cultură “Iluminarea”,Kula, Vazrajdane, Vidin,House of Culture “Enlightenment”,Kula, Vazrajdane, Vidin
2617,Casa de cultură Paisii Hilendarski,Dimovo, Vidin,House of Culture Paisii Hilendarski,Dimovo, Vidin
2618,Casa de Cultură Mito Markov,Makresh, Vidin,House of Culture Mito Markov,Makresh, Vidin
2619,Galeria de artă - Belogradchik,Belogradchik, Vidin,Art Gallery - Belogradchik,Belogradchik, Vidin
2620,Dimitrovden - 26 Octombrie,Vidin, Vidin,Dimitrovden - October 26,Vidin, Vidin
2621,Ziua Iordanului - 6 Ianuarie,Vidin, Vidin,Jordan Day - January 6,Vidin, Vidin
2622,Regata Internațională a Dunării în August,Vidin, Vidin,Danube International Regatta in August,Vidin, Vidin
2623,Drumeții pe muntele Midgur în iulie,Vidin, Vidin,Hiking Mount Midzhur in July,Vidin, Vidin
2624,Dansând pe Dunăre - Baba Vida,Vidin, Vidin,Dancing on the Danube - Baba Vida,Vidin, Vidin
2625,Festivalul de Folk din Belogradchik,Belogradchik, Vidin,Folk Festival in Belogradchik,Belogradchik, Vidin
2626,Festivalul Internațional Salash,Novo Korito - Salash, Vidin,International Festival Salash,Novo Korito - Salash, Vidin
2627,Felix Romuliana - Rezidența Împ. Galerius,Vidin,Felix Romuliana - Emp. Galerius Residence,Vidin
2628,Sistemul Cetate Kaleto,Vidin, Vidin,The Fortress Kaleto System,Vidin, Vidin
2629,Centrul comunitar “Obrazovanie”,Archar, Vidin,Community center “Obrazovanie”,Archar, Vidin
2630,Centrul Comunitar “Naroden buditel”,Oreshets, Vidin,Community Center “Naroden buditel”,Oreshets, Vidin
2631,Centrul comunitar “Valiyo Burdashki”,Izvor, Vidin,Community center “Valiyo Burdashki”,Izvor, Vidin
2097,Cetatea Castra Ad Montanezium,Montana, Montana,Fortress Castra Ad Montanezium,Montana, Montana
2098,Muzeul de Istorie,Montana, Montana,History Museum,Montana, Montana
2099,Expoziția Arheologică ”Lapidarium”,Motana, Montana,Archaeological exhibition ”Lapidarium”,Motana, Montana
2100,Muzeul Etnografic,Berkovitsa, Montana,Ethnographic Museum,Berkovitsa, Montana
2101,Casa Memorială și Muzeul Ivan Vazov,Berkovitsa, Montana,Memorial House and Museum Ivan Vazov,Berkovitsa, Montana
2102,Muzeul de Istorie,Lom, Montana,History Museum,Lom, Montana
2103,Muzeul Etnografic Katerina Kushta,Chiprovtsi, Montana,Ethnographic Museum Katerina Kushta,Chiprovtsi, Montana
2104,Turnul cu Ceas din Berkovitsa,Berkovitsa, Montana,Clock Tower in Berkovitsa,Berkovitsa, Montana
2105,Casa Krasteva,Berkovitsa, Montana,House Krasteva,Berkovitsa, Montana
2106,Galeria de artă,Berkovitsa, Montana,Art Gallery,Berkovitsa, Montana
2107,Baia turcească,Berkovitsa, Montana,Turkish bath,Berkovitsa, Montana
2108,Galeria de artă “Kiril Petrov”,Montana, Montana,Art Gallery “Kiril Petrov”,Montana, Montana
2109,Cetatea antică medievală,Berkovitsa, Montana,Ancient medieval fortress,Berkovitsa, Montana
2110,Fântâna de apă “Malinarka”,Berkovitsa, Montana,Water Fountain “Malinarka”,Berkovitsa, Montana
2111,Casa lui Mihailov,Montana, Montana,Mihailov's house,Montana, Montana
2112,Expoziție muzeu,Varshets, Montana,Museum exhibition,Varshets, Montana
2113,Galerie de Artă,Varshets, Montana,Art Gallery,Varshets, Montana
2114,Cetatea Piatră,Botunya, Montana,Fortress Stone,Botunya, Montana
2115,Teatrul de dramă Dragomir Asenov,Montana, Montana,Drama Theatre Dragomir Asenov,Montana, Montana
2116,Muzeul de istorie din Chiprovtsi,Chiprovtsi, Montana,History Museum in Chiprovtsi,Chiprovtsi, Montana
2117,Muzeul etnografic,Chiprovtsi, Montana,Ethnographic Museum,Chiprovtsi, Montana
2118,Centrul comunitar “Petar Bogdan”,Chiprovtsi, Montana,Community center “Petar Bogdan”,Chiprovtsi, Montana
2119,Centrul comunitar Postoyanstvo,Lom, Montana,Community Center Postoyanstvo,Lom, Montana
2120,Centrul comunitar „Ivan Vazov“,Berkovitsa, Montana,Community center “Ivan Vazov”,Berkovitsa, Montana
2121,Noua baie de minerale,Varshets, Montana,The new mineral bath,Varshets, Montana
2122,Vechea baie de minerale,Varshets, Montana,The old mineral bath,Varshets, Montana
2123,Cazinoul Regal,Varshets, Montana,The Royal Casino,Varshets, Montana
2695,Monumentul Eroului Național “Hristo Botev”,Vratsa, Vratsa,Monument of the National Hero “Hristo Botev”,Vratsa, Vratsa
2696,Muzeul Istoric Regional și Galeria de Artă,Vratsa, Vratsa,Regional History Museum and the Art Gallery,Vratsa, Vratsa
2697,Complexul Renovat Etnografic “Sf. Sofroniy Vrachanski”,Vratsa, Vratsa,Renovated Ethnographic Complex “St. Sofroniy Vrachanski ”,Vratsa, Vratsa
2698,Templu - Monument “Sf. Sofroniy Vrachanski”,Vratsa, Vratsa,Temple - Monument “St. Sofroniy Vrachanski ”,Vratsa, Vratsa
2699,Turnul “Meshchiyte”,Vratsa, Vratsa,Tower “Meshchiyte”,Vratsa, Vratsa
2700,Turnul “Kurtpashova”,Vratsa, Vratsa,“Kurtpashova” Tower,Vratsa, Vratsa
2701,Teatrul Dramatic de Păpuși,Vratsa, Vratsa,Dramatic Puppet Theatre,Vratsa, Vratsa
2702,Casa Tineretului,Vratsa, Vratsa,“Youth House”,Vratsa, Vratsa
2703,Centrul Comunitar “Dezvoltarea”,Vratsa, Vratsa,Community Center “Development”,Vratsa, Vratsa
2704,Centrul Comunitar “Probuda”,Vratsa, Vratsa,Community Center “Probuda”,Vratsa, Vratsa
2705,Biblioteca Regională “Hristo Botev“,Vratsa, Vratsa,Regional Library “Hristo Botev”,Vratsa, Vratsa
2706,Casa Memorială și Muzeul Dimitraki Hadjitoshev,Vratsa, Vratsa,Memorial House and Museum Dimitraki Hadjitoshev,Vratsa, Vratsa
2707,Casa Memorială Ivan Zambin,Vratsa, Vratsa,Ivan Zambin Memorial House,Vratsa, Vratsa
2708,Casa Memorială și Muzeul “Grigorii Najdenov”,Vratsa, Vratsa,Memorial House and Museum “Grigory Najdenov”,Vratsa, Vratsa
2709,Muzeul Național Vasul cu Aburi “Radetzky”,Kozloduy, Vratsa,National Museum Steam Ship “Radetzky”,Kozloduy, Vratsa
2710,Școala Renașterii “Vaznesenie”,Vratsa, Vratsa,Renaissance School “Vaznesenie”,Vratsa, Vratsa
2711,Expoziția “Transport Tradițional”,Vratsa, Vratsa,Exposition “Traditional Transports”,Vratsa, Vratsa
2712,Galeria de Artă “Ivan Funev”,Vratsa, Vratsa,Art Gallery “Ivan Funev”,Vratsa, Vratsa
2713,Filarmonica de Stat,Vratsa, Vratsa,State Philharmonic,Vratsa, Vratsa
2714,Centrul de Conservare “Natura”,Vratsa, Vratsa,Conservation Center “Nature”,Vratsa, Vratsa
2715,Centru Vizitatori cu Punct de Control Pădure,Vratsa, Vratsa,Visitors Center with Forest Control Point,Vratsa, Vratsa
2716,Comoara Rogozen,Vratsa, Vratsa,The Rogozen Treasure,Vratsa, Vratsa
2717,Comoara din Vratsa,Vratsa, Vratsa,Treasure of Vratsa,Vratsa, Vratsa
2718,Comoara din Bukyovtsi,Bukyovtsi, Vratsa,Treasure in Bukyovtsi,Bukyovtsi, Vratsa
2719,Comoara din Galiche,Galiche, Vratsa,Treasure in Galiche,Galiche, Vratsa
2720,Cetatea “Gradishte”,3km Lilyache, Vratsa,Fortress “Gradishte”,3km Lilyache, Vratsa
2721,Rezervația Arheologică “Augusta”,Kozloduiy, Vratsa,Archaeological Reserve “Augusta”,Kozloduiy, Vratsa
2722,Punctul de Reper “Ohoden”,Ohoden, Vratsa,Landmark “Ohoden”,Ohoden, Vratsa
2723,Cetatea “Kaleto”,Mezdra, Vratsa,Fortress “Kaleto”,Mezdra, Vratsa
2724,Monumentul din Vârful “Okolchitsa”,Okolchitsa, Vratsa,Monument on Peak “Okolchitsa”,Okolchitsa, Vratsa
2725,Vârful “Milin Kamak”,Vratsa, Vratsa,Peak “Milin Kamaka”,Vratsa, Vratsa
2726,Parcul “Botev” din Kozlodui,Kozlodui, Vratsa,“Botev” Park in Kozloduy,Kozlodui, Vratsa
2727,Monumentul și Obeliscul lui “Hristo Botev”,Vratsa, Vratsa,Monument and Obelisk of “Hristo Botev”,Vratsa, Vratsa
2728,Digul Kozlodui,Kozlodui, Vratsa,Kozlodui Dam,Kozlodui, Vratsa
2729,“Orehov”,Vratsa, Vratsa,“Orehov”,Vratsa, Vratsa
2730,Muzeul de Istorie,Oryahovo, Vratsa,History Museum,Oryahovo, Vratsa
2731,Casa Muzeu Diko Iliev,Oryahovo, Vratsa,Diko Iliev House Museum,Oryahovo, Vratsa
2732,Monumentul Libertății,Oryahovo, Vratsa,Freedom Monument,Oryahovo, Vratsa
2733,Parcul Prieteniei Bulgaro-Română,Oryahovo, Vratsa,Bulgarian-Romanian Friendship Park,Oryahovo, Vratsa
2734,Casa “Baba Iliytsa”,Chelopek, Vratsa,House “Baba Iliytsa”,Chelopek, Vratsa
2205,Panorama Epopeea de la Plevna - 1877,Pleven, Pleven,Panorama Pleven Saga - 1877,Pleven, Pleven
2206,Parcul și Muzeul Skobelev,Pleven, Pleven,Skobelev Park and Museum,Pleven, Pleven
2207,Muzeul Regional Istoric,Pleven, Pleven,Regional History Museum,Pleven, Pleven
2208,Cetatea Storgozia,Pleven, Pleven,Fortress Storgozia,Pleven, Pleven
2209,Muzeul Marelui Duce Nikolay Nicholaevich,Pleven, Pleven,Museum of Grand Duke Nikolay Nicholaevich,Pleven, Pleven
2210,Mausoleul Român Muzeul şi Parcul Memorial,Grivitsa, Pleven,Romanian Mausoleum Museum and Memorial Park,Grivitsa, Pleven
2211,Galeria de Artă Svetlin Rusev,Pleven, Pleven,Svetlin Rusev Art Gallery,Pleven, Pleven
2212,Galeria de Artă Iliya Beshkov,Pleven, Pleven,Art Gallery Iliya Beshkov,Pleven, Pleven
2213,Expoziție în Aer Liber “Casa Neolitică”,Telish, Pleven,Open Air Exhibition “House Neolithic”,Telish, Pleven
2214,Monumentul Mama Bulgaria,Pleven, Pleven,Mother Bulgaria Monument,Pleven, Pleven
2215,Munumentul Vasil Levski,Pleven, Pleven,Vasil Levski Munument,Pleven, Pleven
2216,Memorialul Edward și Elisabeth Haskell,Pordium, Pleven,Edward and Elisabeth Haskell Memorial,Pordium, Pleven
2217,Colonia Romana Ulpia Oescus,Gigen, Pleven,Roman Colony Ulpia Oescus,Gigen, Pleven
2218,Casa Muzeu Tsar Liberator II,Pleven, Pleven,Tsar Liberator II House Museum,Pleven, Pleven
2219,Casa Muzeu “Majestatea Sa Regele Carol I”,Pordim, Pleven,House Museum “His Majesty King Carol I”,Pordim, Pleven
2220,Muzeul Vinului,Pleven, Pleven,Wine Museum,Pleven, Pleven
2221,Mausoleul Capelă Sf Gheorghe Cuceritorul,Pleven, Pleven,Mausoleum Chapel of St. George the Conqueror,Pleven, Pleven
2222,Cetatea Romană Militar Dimum,Belene, Pleven,Roman Citadel Military Dimum,Belene, Pleven
2223,Casa Muzeu “Stoyan and Vladimir Zaimov”,Pleven,House Museum “Stoyan and Vladimir Zaimov”,Pleven
2224,Church “Saint Trinity”,Pleven, Pleven,Church “Saint Trinity”,Pleven, Pleven
2225,Complexul Bulgar Național al Renașterii,Pleven, Pleven,Bulgarian National Revival Complex,Pleven, Pleven
2226,Teatrul Dramatic Ivan Radoev,Pleven, Pleven,Ivan Radoev Dramatic Theatre,Pleven, Pleven
